"";"TournamentName";"TournamentStart";"TournamentEnd";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"maxParticipants";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude"
"38";"1. Heidelberger Adventsturnier";2010-11-27 10:00:00;2010-11-27 19:00:00;"Deutschland";"69120";"Heidelberg";"UferstraÃe 50";"Neckarwiese";12;5;38;8,68490832815199;49,4128021
"39";"3. Freundschaftliche Winterspiele";2010-12-11 08:00:00;2010-12-12 16:00:00;"Deutschland";"21335";"LÃ¼neburg";"Uelzener StraÃe 90";"Sportpark Uelzener StraÃe";24;24;39;10,4061228509309;53,23434
"40";"3. School's Out der OGS";2011-03-26 10:00:00;2011-03-26 17:00:00;"Deutschland";"24589";"Nortorf";"MarienburgerstraÃe 47-49";"Nortorf / Schleswig-Holstein";0;6;40;9,8450968;54,166312
"41";"3. NRW Turnier";2011-04-09 10:00:00;2011-04-09 19:00:00;"Deutschland";"47229";"Duisburg";"ClarenbachstraÃe 14";"Jugendzentrum ""Die MÃ¼hle""";0;8;41;6,70513008064935;51,392034
"42";"5. Berliner Juggerpokal";2011-05-07 10:00:00;2011-05-08 18:00:00;"Deutschland";"";"Berlin";"siehe Beschreibung";"Berlin";20;18;42;NA;NA
"43";"9. Badische Meisterschaft";2011-05-21 11:00:00;2011-05-21 18:00:00;"Deutschland";"78050";"Villingen";"Kalkofenstr.";"Hubenloch";0;11;43;8,4486298;48,0572689
"44";"7. SaarlÃ¤ndische Meisterschaft";2011-05-28 11:00:00;2011-05-28 20:00:00;"Deutschland";"66424";"Homburg";"BrunnenstraÃe";"Stadtpark Homburg";16;15;44;7,3505486;49,327499
"45";"4. ThÃ¼ringer Meisterschaft";2011-06-04 10:00:00;2011-06-05 16:00:00;"Deutschland";"07743";"Jena";"An der Oberaue 1";"Jena";0;16;45;11,5836561;50,9180893
"46";"6. Schleswig-Holstein Meisterschaft";2011-06-25 09:00:00;2011-06-26 16:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";20;18;46;10,4401006536605;53,78423965
"47";"3. Hessische Meisterschaft";2011-07-02 09:00:00;2011-07-02 18:00:00;"Deutschland";"";"Darmstadt";"UnigelÃ¤nde Lichtwiese";"Messfeld bei der Sickergrube";0;7;47;NA;NA
"48";"1. Juggerturnier zu Oldenburg in Oldenburg";2011-07-09 10:00:00;2011-07-10 16:00:00;"Deutschland";"26135";"Oldenburg";"Gerhard- Stalling- StraÃe 26";"Sportpark Osternburg";24;14;48;8,2451601;53,1085031
"49";"17. Hamburger Meisterschaft";2011-08-13 10:00:00;2011-08-14 16:30:00;"Deutschland";"22303";"Hamburg";"SaarlandstraÃe";"Stadtpark / GelÃ¤nde Rugby FC St. Pauli";24;21;49;10,0316818;53,5957328
"50";"1. Hannoversches Tagesturnier";2011-08-20 10:00:00;2011-08-20 17:00:00;"Deutschland";"30627";"Hannover";"Rotekreuzstrasse 23";"Sportanlagen der IGS Roderbruch";12;6;50;9,81768613945493;52,38726955
"51";"2. Turnier zu MÃ¼nster";2011-08-20 10:00:00;2011-08-21 13:00:00;"Deutschland";"48165";"MÃ¼nster";"Osttor 85";"Sportplatz TuS Hilturp";16;10;51;7,6688443;51,9068543
"52";"2. Berliner Meisterschaft";2011-08-27 11:00:00;2011-08-28 16:00:00;"Deutschland";"1000";"Berlin";"CantianstraÃe 24 / GaudystraÃe";"Ludwig-Jahn-Sportpark";0;14;52;NA;NA
"53";"4. WestfÃ¤lische Meisterschaft";2011-09-03 09:00:00;2011-09-04 16:00:00;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";0;16;53;8,3337762;51,6721709
"54";"14. Deutsche Meisterschaft";2011-09-17 10:00:00;2011-09-18 18:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"SportgelÃ¤nde des TSV Waidhaus";0;32;54;12,4967105;49,6400456
"55";"7. Moshen im Park";2011-10-02 10:00:00;2011-10-02 18:00:00;"Deutschland";"23843";"Bad Oldesloe";"Kreuzung Kurparkallee / SÃ¼lzberg";"Liegewiese bei den TennisplÃ¤tzen";6;6;55;NA;NA
"56";"2. Adventsturnier";2011-12-10 10:30:00;2011-12-10 18:00:00;"Deutschland";"79110";"Freiburg";"Falkenbergerstr 21";"Bolzplatz bei Ãkostation";19;13;56;7,8238526;48,0138942
"57";"4. Freundschaftliche Winterspiele";2012-02-04 09:30:00;2012-02-05 16:00:00;"Deutschland";"12683";"Berlin";"Allee der Kosmonauten 136";"Berlin - Marzahn/Hellersdorf";17;16;57;13,5523410528815;52,53334425
"58";"GÃ¶ttinger Hallencup 2012";2012-03-03 10:00:00;2012-03-03 20:00:00;"Deutschland";"37073";"GÃ¶ttingen";"Waldweg 28";"Kinderbewegungshaus, Eingang Jugendclub";8;8;58;9,9440092850799;51,5449324
"59";"1. Hagener Jugger Cup";2012-04-28 09:00:00;2012-04-28 18:00:00;"Deutschland";"58135";"Hagen";"Im Kettelbach 69";"Hagen";12;12;59;7,42811672126889;51,3226435
"60";"6. Berliner Juggerpokal";2012-04-28 09:00:00;2012-04-29 15:00:00;"Deutschland";"10437";"Berlin";"CantianstraÃe 24";"Friedrich-Ludwig-Jahn-Sportpark";24;23;60;13,4107017;52,5443748
"61";"10. Badische Meisterschaft";2012-05-12 10:00:00;2012-05-12 18:00:00;"Deutschland";"78050";"Villingen";"Vor Haslen 4";"Jugendtreff Chilly";0;17;61;8,4577546;48,0776487
"62";"1. Schwarzwald Cup";2012-05-21 19:00:00;2012-05-21 22:00:00;"Deutschland";"78050";"Villingen";"Kalkofenstr.";"Hubenloch";0;4;62;8,4486298;48,0572689
"63";"5. ThÃ¼ringer Meisterschaft";2012-05-26 10:00:00;2012-05-27 18:00:00;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";24;22;63;11,5836561;50,9180893
"64";"12. Bayerische Meisterschaft";2012-06-09 10:00:00;2012-06-10 12:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"SportgelÃ¤nde des TSV Waidhaus";18;11;64;12,4967105;49,6400456
"65";"7. Schleswig-Holstein Meisterschaft";2012-06-16 09:00:00;2012-06-17 16:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";18;15;65;10,4401006536605;53,78423965
